GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB191101A   |    932742    | 1.460530e+00 | 5.154290e-01 | 2.498670e+00 | 1.157710e+00 | 0.000000e+00 | 1.749280e+00 | 6.181860e-01 | 1.276890e-01 | 1.129440e+00 | 2.175790e-01 | 0.000000e+00 | 5.547250e-01 | 4.803870e-01 | 0.000000e+00 | 1.596660e+00 | 3.454000e+00 | 1.695940e+00 | 5.212130e+00 | 3.716790e+00 | 1.784570e+00 | 5.691690e+00 | 0.02 | 8.648000 | 8.668000 |  
GRB191031D   |    932608    | 1.823540e-03 | NaN | NaN | 2.238610e-02 | NaN | NaN | 2.508140e-01 | NaN | NaN | 8.547320e-01 | NaN | NaN | 2.145190e+01 | NaN | NaN | 1.196540e+00 | NaN | NaN | 2.170200e+01 | NaN | NaN | 0.02 | 0.000000 | 0.020000 |  
GRB191031C   |    932595    | 1.187290e-02 | NaN | NaN | 7.337340e-02 | NaN | NaN | 4.112250e-01 | NaN | NaN | 8.108930e-01 | NaN | NaN | 9.796050e+00 | NaN | NaN | 1.283880e+00 | NaN | NaN | 1.005070e+01 | NaN | NaN | 0.02 | 4.132000 | 4.152000 |  
GRB191031A   |    932435    | 1.250850e+00 | 2.524960e-01 | 2.450180e+00 | 1.246220e+00 | 0.000000e+00 | 1.869700e+00 | 8.708430e-01 | 0.000000e+00 | 1.376120e+00 | 3.820900e-01 | 8.103400e-02 | 8.726410e-01 | 9.632140e-01 | 0.000000e+00 | 3.428180e+00 | 3.750000e+00 | 0.000000e+00 | 5.561830e+00 | 4.330970e+00 | 2.344360e+00 | 6.321990e+00 | 0.02 | 7.048000 | 7.068000 |  
GRB191029A   |    932058    | 1.065260e+00 | 2.537480e-01 | 2.004340e+00 | 9.138010e-01 | 0.000000e+00 | 1.404700e+00 | 5.356520e-01 | 0.000000e+00 | 8.938830e-01 | 2.035920e-01 | 0.000000e+00 | 4.606180e-01 | 4.697840e-01 | 0.000000e+00 | 1.446560e+00 | 2.718320e+00 | 0.000000e+00 | 4.191420e+00 | 2.984490e+00 | 1.432120e+00 | 4.537020e+00 | 0.02 | 3.896000 | 3.916000 |  
GRB191024A   |    931242    | 1.684210e+00 | 8.422200e-01 | 2.533030e+00 | 1.184470e+00 | 6.904230e-01 | 1.633070e+00 | 5.487170e-01 | 1.696280e-01 | 9.854230e-01 | 1.716410e-01 | 0.000000e+00 | 4.473770e-01 | 3.556640e-01 | 0.000000e+00 | 1.185000e+00 | 3.589030e+00 | 2.273930e+00 | 4.903700e+00 | 3.773010e+00 | 2.348050e+00 | 5.227750e+00 | 0.02 | -0.076000 | -0.056000 |  
GRB191019A   |    930285    | 4.292940e+00 | 2.773290e+00 | 5.878760e+00 | 3.605510e+00 | 2.622450e+00 | 4.588220e+00 | 2.061540e+00 | 1.217850e+00 | 2.898830e+00 | 7.676680e-01 | 3.517660e-01 | 1.282860e+00 | 1.750240e+00 | 6.958690e-01 | 3.312940e+00 | 1.072750e+01 | 7.804710e+00 | 1.365040e+01 | 1.171010e+01 | 8.427610e+00 | 1.502610e+01 | 0.02 | 4.724000 | 4.744000 |  
GRB191017B   |    929981    | 1.225930e+00 | 0.000000e+00 | 2.717350e+00 | 1.364850e+00 | 0.000000e+00 | 2.199870e+00 | 1.085660e+00 | 0.000000e+00 | 1.944240e+00 | 5.289710e-01 | 0.000000e+00 | 1.485500e+00 | 1.430120e+00 | 0.000000e+00 | 7.691410e+00 | 4.205350e+00 | 0.000000e+00 | 6.658620e+00 | 5.108400e+00 | 1.943120e+00 | 9.807050e+00 | 0.02 | 0.392000 | 0.412000 |  
GRB191016A   |    929744    | 1.440890e+00 | 0.000000e+00 | 2.379910e+00 | 7.570540e-01 | 0.000000e+00 | 1.218440e+00 | 2.472440e-01 | 0.000000e+00 | 6.413680e-01 | 5.757250e-02 | 0.000000e+00 | 2.728200e-01 | 1.039860e-01 | 0.000000e+00 | 7.052980e-01 | 2.502710e+00 | 0.000000e+00 | 3.819050e+00 | 2.548240e+00 | 0.000000e+00 | 3.919050e+00 | 0.02 | -1.588000 | -1.568000 |  
GRB191011A   |    928924    | 1.325030e+00 | 7.489260e-01 | 1.918140e+00 | 1.224970e+00 | 8.528580e-01 | 1.595690e+00 | 7.841520e-01 | 4.399050e-01 | 1.129000e+00 | 3.203420e-01 | 1.348610e-01 | 5.708380e-01 | 7.719680e-01 | 2.748340e-01 | 1.635690e+00 | 3.654490e+00 | 2.552090e+00 | 4.756890e+00 | 4.106120e+00 | 2.820790e+00 | 5.420340e+00 | 0.02 | 0.496000 | 0.516000 |  
GRB191004B   |    927839    | 5.462590e-04 | NaN | NaN | 6.636100e-03 | NaN | NaN | 8.655950e-02 | 6.582480e-02 | 2.309090e-01 | 3.033230e-01 | 2.265380e-01 | 7.052660e-01 | 7.594540e+00 | 5.724370e+00 | 1.504600e+01 | 3.260470e-01 | NaN | NaN | 7.571990e+00 | 5.787300e+00 | 1.534840e+01 | 0.02 | 2.956000 | 2.976000 |  
GRB191004A   |    927825    | 7.367310e-04 | 7.066560e-04 | 2.901410e-03 | 8.719690e-03 | NaN | NaN | 1.344470e-01 | 9.895560e-02 | 3.129090e-01 | 2.992660e-01 | NaN | NaN | 1.176880e+01 | 8.608400e+00 | 2.160820e+01 | 6.322810e-01 | 4.500320e-01 | 1.318560e+00 | 1.167460e+01 | 8.683100e+00 | 2.211910e+01 | 0.02 | 0.048000 | 0.068000 |  
GRB191001B   |    927345    | 8.930760e+00 | 1.508020e+00 | 1.746990e+01 | 6.636990e+00 | 0.000000e+00 | 1.091240e+01 | 3.283100e+00 | 0.000000e+00 | 5.704080e+00 | 1.084620e+00 | 0.000000e+00 | 2.389050e+00 | 2.313160e+00 | 0.000000e+00 | 6.506890e+00 | 1.993550e+01 | 0.000000e+00 | 3.325220e+01 | 2.116400e+01 | 7.634760e+00 | 3.477200e+01 | 0.02 | 790.424000 | 790.444000 |  
GRB190926A   |    926515    | 9.108320e-01 | 3.418030e-01 | 1.517060e+00 | 9.960900e-01 | 5.419960e-01 | 1.445090e+00 | 7.760120e-01 | 3.131110e-01 | 1.268340e+00 | 3.718010e-01 | 0.000000e+00 | 8.118310e-01 | 9.936860e-01 | 0.000000e+00 | 2.904160e+00 | 3.054730e+00 | 1.677820e+00 | 4.434770e+00 | 3.676750e+00 | 1.908050e+00 | 5.774590e+00 | 0.02 | 55.664000 | 55.684000 |  
GRB190829A   |    922968    | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN |  
